id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,amount_num,iso_score,is_iso_fraud,prev_state,prev_date,is_geo_fraud,is_hybrid_fraud
7508868,2010-01-09 14:50:00,0,4639,$128.09,Swipe Transaction,3558,Worcester,MA,1607.0,3640,Insufficient Balance,128.09,1,False,NV,2010-01-09 14:36:00,True,True
7516735,2010-01-11 14:08:00,0,4639,$48.47,Online Transaction,9932,ONLINE,,,5311,,48.47,1,False,ME,2010-01-11 13:13:00,True,True
7529867,2010-01-14 20:32:00,0,4639,$51.19,Online Transaction,9932,ONLINE,,,5311,,51.19,1,False,ME,2010-01-14 19:55:00,True,True
7630887,2010-02-09 14:22:00,0,4639,$7.26,Online Transaction,88459,ONLINE,,,5311,,7.26,1,False,ME,2010-02-09 13:33:00,True,True
7650269,2010-02-14 13:05:00,0,4639,$613.41,Online Transaction,6063,ONLINE,,,4511,,613.41,-1,True,ME,2010-02-14 12:49:00,True,True
7477216,2010-01-01 12:18:00,1,3682,$14.58,Online Transaction,18563,ONLINE,,,4121,,14.58,1,False,FL,2010-01-01 12:11:00,True,True
7492630,2010-01-05 11:34:00,1,4652,$13.94,Online Transaction,16798,ONLINE,,,4121,,13.94,1,False,FL,2010-01-05 11:01:00,True,True
7506117,2010-01-08 20:02:00,1,3682,$488.00,Online Transaction,13348,ONLINE,,,4722,,488.0,-1,True,FL,2010-01-08 16:01:00,False,True
7511951,2010-01-10 11:22:00,1,4652,$15.24,Online Transaction,18563,ONLINE,,,4121,,15.24,1,False,NY,2010-01-10 11:20:00,True,True
7514353,2010-01-11 01:01:00,1,3682,$-488.00,Online Transaction,13348,ONLINE,,,4722,,-488.0,-1,True,NY,2010-01-10 16:06:00,False,True
7516051,2010-01-11 11:43:00,1,4652,$167.02,Online Transaction,32480,ONLINE,,,4899,,167.02,1,False,FL,2010-01-11 11:13:00,True,True
7543393,2010-01-18 12:09:00,1,4652,$18.79,Online Transaction,16798,ONLINE,,,4121,,18.79,1,False,FL,2010-01-18 11:39:00,True,True
7555258,2010-01-21 12:00:00,1,4652,$15.45,Online Transaction,16798,ONLINE,,,4121,,15.45,1,False,FL,2010-01-21 11:48:00,True,True
7587513,2010-01-29 16:25:00,1,3682,$11.63,Online Transaction,18563,ONLINE,,,4121,,11.63,1,False,FL,2010-01-29 15:34:00,True,True
7602064,2010-02-02 11:39:00,1,4652,$16.84,Online Transaction,16798,ONLINE,,,4121,,16.84,1,False,FL,2010-02-02 11:07:00,True,True
7647277,2010-02-13 17:20:00,1,3682,$15.42,Online Transaction,18563,ONLINE,,,4121,,15.42,1,False,FL,2010-02-13 16:39:00,True,True
7677610,2010-02-21 11:32:00,1,3682,$10.59,Online Transaction,18563,ONLINE,,,4121,,10.59,1,False,FL,2010-02-21 11:21:00,True,True
7685928,2010-02-23 11:44:00,1,3682,$16.15,Online Transaction,18563,ONLINE,,,4121,,16.15,1,False,FL,2010-02-23 10:48:00,True,True
7570568,2010-01-25 12:04:00,4,3413,$729.82,Swipe Transaction,97028,Seattle,WA,98122.0,5300,,729.82,-1,True,WA,2010-01-25 10:00:00,False,True
7584890,2010-01-28 23:45:00,4,3413,$932.00,Online Transaction,6063,ONLINE,,,4511,,932.0,-1,True,WA,2010-01-28 10:25:00,False,True
7614456,2010-02-05 13:44:00,5,1178,$412.41,Swipe Transaction,24823,Clifton Springs,NY,14432.0,7538,,412.41,-1,True,NY,2010-02-05 11:53:00,False,True
7638752,2010-02-11 12:50:00,5,3283,$8.68,Swipe Transaction,13754,Clifton Springs,NY,14432.0,7210,,8.68,1,False,CA,2010-02-11 11:55:00,True,True
7475730,2010-01-01 06:46:00,11,243,$192.29,Online Transaction,52100,ONLINE,,,7801,,192.29,1,False,NY,2010-01-01 05:55:00,True,True
7487459,2010-01-04 06:59:00,11,189,$179.30,Online Transaction,73186,ONLINE,,,4814,,179.3,1,False,MD,2010-01-04 06:22:00,True,True
7505148,2010-01-08 14:57:00,11,5503,$180.66,Online Transaction,73186,ONLINE,,,4814,,180.66,1,False,MD,2010-01-08 14:51:00,True,True
7674890,2010-02-20 16:38:00,11,5503,$412.20,Swipe Transaction,84980,Reisterstown,MD,21136.0,6300,,412.2,-1,True,MD,2010-02-20 15:11:00,False,True
7702738,2010-02-27 16:27:00,11,5503,$-274.00,Swipe Transaction,59474,Germantown,MD,20874.0,3722,,-274.0,-1,True,MD,2010-02-27 16:19:00,False,True
7516242,2010-01-11 12:23:00,13,2941,$494.00,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,,494.0,-1,True,KY,2010-01-11 11:16:00,False,True
7519963,2010-01-12 11:24:00,13,2941,$609.03,Swipe Transaction,5594,Glasgow,KY,42141.0,3001,,609.03,-1,True,KY,2010-01-12 10:40:00,False,True
7521500,2010-01-12 17:10:00,13,2941,$-494.00,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,,-494.0,-1,True,KY,2010-01-12 11:24:00,False,True
7525348,2010-01-13 16:31:00,13,2941,$36.80,Online Transaction,9932,ONLINE,,,5311,,36.8,1,False,KY,2010-01-13 16:07:00,True,True
7539114,2010-01-17 11:18:00,13,2941,$34.16,Online Transaction,39021,ONLINE,,,4784,,34.16,1,False,KY,2010-01-17 11:11:00,True,True
7557660,2010-01-22 06:04:00,13,2109,$481.00,Swipe Transaction,71883,Louisville,KY,40207.0,3405,,481.0,-1,True,,2010-01-21 06:01:00,False,True
7562042,2010-01-23 10:22:00,13,2109,$-481.00,Swipe Transaction,71883,Louisville,KY,40207.0,3405,,-481.0,-1,True,KY,2010-01-23 10:01:00,False,True
7616693,2010-02-06 07:36:00,13,2109,$466.00,Swipe Transaction,51300,Herriman,UT,84096.0,3359,,466.0,-1,True,KY,2010-02-05 12:04:00,False,True
7623178,2010-02-07 16:43:00,13,2109,$-466.00,Swipe Transaction,51300,Herriman,UT,84096.0,3359,,-466.0,-1,True,AZ,2010-02-07 16:21:00,True,True
7544667,2010-01-18 16:46:00,14,4106,$582.58,Swipe Transaction,32489,Waipahu,HI,96797.0,8111,,582.58,-1,True,HI,2010-01-15 12:29:00,False,True
7493419,2010-01-05 14:20:00,16,4964,$23.80,Online Transaction,16798,ONLINE,,,4121,,23.8,1,False,IL,2010-01-05 13:58:00,True,True
7504430,2010-01-08 12:04:00,16,2979,$746.24,Swipe Transaction,647,Chicago,IL,60609.0,8062,,746.24,-1,True,,2010-01-05 14:20:00,False,True
7530563,2010-01-15 06:57:00,17,4962,$41.69,Online Transaction,9932,ONLINE,,,5311,,41.69,1,False,NC,2010-01-15 06:25:00,True,True
7592543,2010-01-31 06:34:00,17,4962,$47.41,Online Transaction,9932,ONLINE,,,5311,Insufficient Balance,47.41,1,False,NC,2010-01-31 06:16:00,True,True
7655108,2010-02-15 15:49:00,17,4962,$-306.00,Swipe Transaction,57133,Waianae,HI,96792.0,3730,,-306.0,-1,True,TN,2010-02-15 12:37:00,False,True
7655213,2010-02-15 16:20:00,17,4962,$4.55,Swipe Transaction,98022,Hickory,NC,28602.0,5411,,4.55,1,False,HI,2010-02-15 15:57:00,True,True
7691471,2010-02-24 17:08:00,17,4962,$637.12,Swipe Transaction,7257,Lenoir,NC,28645.0,3260,,637.12,-1,True,NC,2010-02-24 07:16:00,False,True
